
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2025-02-19T04:19:07Z,,41.653439160436392,-73.437632834538817,42.72320318967104,-70.586663084104657,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,

Address
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,

PhoneNumber
wptID,Category,value,

Categories
wptID,Category,

trk
ID,name,cmt,desc,src,number,type,DisplayColor,
1,"2023_CrumHill",,,,,,"DarkGray",
2,"2024MASugarloafs",,,,,,"DarkGray",
3,"2024SunriseHill",,,,,,"DarkGray",
4,"2024_BareMountain",,,,,,"DarkGray",
5,"2024_BloodHill",,,,,,"Cyan",
6,"2024_Cascades",,,,,,"DarkGray",
7,"2024_CopicutHill",,,,,,"DarkGray",
8,"2024_HoosacRangeSunsetRock",,,,,,"Cyan",
9,"2024_LeydenWMA",,,,,,"Magenta",
10,"2024_ManometHill",,,,,,"DarkGray",
11,"2024_MountEverett",,,,,,"DarkGray",
12,"2024_MountHolyoke",,,,,,"White",
13,"2024_MountTom",,,,,,"DarkGray",
14,"2024_PocassetHill",,,,,,"DarkGray",
15,"2024_RoundTopHill",,,,,,"DarkGray",
16,"2024_RutlandSPMarch2024",,,,,,"Cyan",
17,"2024_Tekoa",,,,,,"DarkGray",
18,"2024_UpperMillRiverMonitoring",,,,,,"DarkGray",
19,"2024_WestMountainBushwack",,,,,,"DarkGray",
20,"2025_BaptistHill",,,,,,"DarkGray",
21,"2025_BerlinMountain",,,,,,"DarkGray",
22,"2025_BrodieMountain",,,,,,"DarkGray",
23,"2025_DryHill",,,,,,"DarkGray",
24,"2025_Pocumtuck",,,,,,"DarkGray",

trkseg
ID,trkID,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,

trkpt
ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad,
1,1,42.7191764395684,-73.02986104041338,747,2023-12-29T18:40:31Z,,,,,,,,,,,,,,,,,,,,,
2,1,42.719024140387774,-73.029604973271489,750.20001220703125,2023-12-29T18:40:49Z,,,,,,,,,,,,,,,,,,,,,
3,1,42.718887683004141,-73.029457116499543,753.20001220703125,2023-12-29T18:41:02Z,,,,,,,,,,,,,,,,,,,,,
4,1,42.718833032995462,-73.029336584731936,755.20001220703125,2023-12-29T18:41:12Z,,,,,,,,,,,,,,,,,,,,,
5,1,42.71873077377677,-73.029140196740627,758,2023-12-29T18:41:26Z,,,,,,,,,,,,,,,,,,,,,
6,1,42.718698922544718,-73.028951520100236,761.20001220703125,2023-12-29T18:41:40Z,,,,,,,,,,,,,,,,,,,,,
7,1,42.718689283356071,-73.028696961700916,763.20001220703125,2023-12-29T18:41:54Z,,,,,,,,,,,,,,,,,,,,,
8,1,42.718690624460578,-73.028534352779388,764.4000244140625,2023-12-29T18:42:03Z,,,,,,,,,,,,,,,,,,,,,
9,1,42.718681488186121,-73.02833653986454,766,2023-12-29T18:42:14Z,,,,,,,,,,,,,,,,,,,,,
10,1,42.718670340254903,-73.028263533487916,766.79998779296875,2023-12-29T18:42:19Z,,,,,,,,,,,,,,,,,,,,,
11,1,42.718632454052567,-73.028033450245857,769.79998779296875,2023-12-29T18:42:35Z,,,,,,,,,,,,,,,,,,,,,
12,1,42.718631867319345,-73.028022050857544,770,2023-12-29T18:42:36Z,,,,,,,,,,,,,,,,,,,,,
13,1,42.718593142926693,-73.02785424515605,771.5999755859375,2023-12-29T18:42:49Z,,,,,,,,,,,,,,,,,,,,,
14,1,42.71852164529264,-73.027705382555723,774.4000244140625,2023-12-29T18:43:03Z,,,,,,,,,,,,,,,,,,,,,
15,1,42.718453332781792,-73.027575379237533,776.5999755859375,2023-12-29T18:43:17Z,,,,,,,,,,,,,,,,,,,,,
16,1,42.718409663066268,-73.027543276548386,777.79998779296875,2023-12-29T18:43:25Z,,,,,,,,,,,,,,,,,,,,,
17,1,42.718364652246237,-73.027493320405483,779,2023-12-29T18:43:31Z,,,,,,,,,,,,,,,,,,,,,
18,1,42.718322994187474,-73.02744185552001,779.4000244140625,2023-12-29T18:43:36Z,,,,,,,,,,,,,,,,,,,,,
19,1,42.718303548172116,-73.027407824993134,779.79998779296875,2023-12-29T18:43:40Z,,,,,,,,,,,,,,,,,,,,,
20,1,42.718207323923707,-73.027288299053907,782,2023-12-29T18:43:53Z,,,,,,,,,,,,,,,,,,,,,
21,1,42.718091569840908,-73.027137340977788,785,2023-12-29T18:44:10Z,,,,,,,,,,,,,,,,,,,,,
22,1,42.718075476586819,-73.027123091742396,785.20001220703125,2023-12-29T18:44:13Z,,,,,,,,,,,,,,,,,,,,,
23,1,42.718033567070961,-73.027080344036222,785.79998779296875,2023-12-29T18:44:18Z,,,,,,,,,,,,,,,,,,,,,
24,1,42.717983527109027,-73.027001889422536,786.79998779296875,2023-12-29T18:44:25Z,,,,,,,,,,,,,,,,,,,,,
25,1,42.717846147716045,-73.026849422603846,789.5999755859375,2023-12-29T18:44:42Z,,,,,,,,,,,,,,,,,,,,,
